"고유번호","구명","법정동명","산지여부","주지번","부지번","새주소명","소재지","지목한글","수목면적","수종한글","본수","과명","학명","수령","수고","흉고둘레","수관너비","활력도","지정품목","지정년월일","수목구분내용","가치등급","소유자","관리자","병해종류명","병해피해도","병해관리상태","병해관리방안","충해종류명","충해피해도","충해관리상태","충해관리방안","기타피해상태","기타피해관리","지정사유","나무의특징","연혁 및 전설","기타","수목고유번호","품계등급","생성일","사진파일명","경도","위도"
"221","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","칠엽수","1","칠엽수과","Aesculus tubinata BL","80.00000000","20.00000000","135.00000000","10.00000000","2.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," ","휴게실내에 위치하여 토양답압","보호책설치 경운실시"," "," "," "," ","26-3","28.00000000",""," ","127.0373852","37.572816"
"222","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","칠엽수","1","칠엽수과","Aesculus tubinata BL","80.00000000","20.00000000","136.00000000","10.00000000","2.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," ","휴게실내에 위치하여 토양답압","보호책설치 경운실시"," "," "," "," ","26-4","28.00000000",""," ","127.0374074","37.572816"
"223","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","칠엽수","1","칠엽수과","Aesculus tubinata BL","80.00000000","20.00000000","160.00000000","10.00000000","2.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," ","휴게실내에 위치하여 토양답압","보호책설치 경운실시"," "," "," "," ","26-2","28.00000000",""," ","127.0373877","37.5728347"
"224","동대문구"," "," "," "," "," ","전농4동 272-1번지","대지","0E-8","물푸레나무","1"," "," ","0E-8","6.00000000","190.00000000","20.00000000","0E-8"," "," "," ","0E-8","임업연구원","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","127.0548044","37.5781628"
"225","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","216.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-7","32.00000000",""," ","127.0355615","37.5790986"
"226","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","220.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-2","32.00000000",""," ","127.0355765","37.5791231"
"227","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","노블포플러","1","버드나무과","Populus noble","80.00000000","34.00000000","220.00000000","12.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","17-2","33.00000000",""," ","127.0525664","37.5806007"
"228","동대문구"," "," "," "," "," ","동대문구 제기1동 1142-15번지","대지","0E-8","느티나무","1","느릅나무과","Zelkova serrata Makino","0E-8","12.00000000","49.00000000","15.00000000","3.00000000"," "," "," ","0E-8","임업연구원","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","127.040114","37.5907263"
"229","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","루브라참나무","1","참나무과","Quercus rubura","80.00000000","30.00000000","310.00000000","18.00000000","1.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","16-2","38.00000000",""," ","127.0510877","37.5809494"
"230","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","버드나무","1","버드나무과","Salix koreensis anderss","60.00000000","17.00000000","170.00000000","14.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," ","희귀수종"," "," "," ","12","30.00000000",""," ","127.0326766","37.5789174"
"231","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","230.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-3","32.00000000",""," ","127.0355464","37.5791121"
"232","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","서울귀룽나무","1","장미과","Prunus padus var. seoulensis NAKAI","80.00000000","20.00000000","145.00000000","14.00000000","2.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," ","인접된 소나무와 수관경쟁","소나무 가지전정 실시"," "," "," "," ","32","31.00000000",""," ","127.052598","37.5739924"
"310","동작구"," "," "," "," "," ","동작구 상도2동 363-13번지","종교용지","0E-8","오동나무","3","현삼과","Paulownia coreana UYEKI","50.00000000","11.00000000","140.00000000","6.00000000","3.00000000","후보목"," "," ","2.00000000"," "," ","오동나무 빗자루병 피해"," "," ","약제방제"," "," "," "," ","뿌리생육공간협소고사지발생가지절단부부패","보호책설치 토양경운 고사지제거 부패부제거수술"," "," "," "," ","33","0E-8",""," ","126.9383625","37.5052325"
"311","동작구"," "," "," "," "," ","동작구 상도5동 134-47번지","주거용지","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","80.00000000","18.00000000","230.00000000","6.00000000","2.00000000","후보목"," "," ","2.00000000"," "," "," "," "," "," "," "," "," "," ","인접목과 수관경쟁","수형조절"," "," "," "," ","56","0E-8",""," ","126.9505796","37.4954534"
"312","동작구"," "," "," "," "," ","동작구 대방동","철도용지","0E-8","은행나무","1","은행나무과","Gingo biloba Linne","60.00000000","8.00000000","126.00000000","2.00000000","3.00000000","후보목"," "," ","2.00000000"," "," "," "," "," "," "," "," "," "," ","강전정으로수형파괴와 수세쇠약"," "," "," "," ","1m옆으로 스넥카위치","20-동작구-노-014","0E-8",""," ","126.9269698","37.5142956"
"313","동작구"," "," "," "," "," ","동작구 대방동 28번지","학교용지","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","50.00000000","12.00000000","170.00000000","8.00000000","2.00000000","후보목"," "," ","0E-8"," "," "," "," "," "," "," "," "," "," ","고사지 및 쇠약지 발생","고사지및 쇠약지 제거"," "," "," "," ","20-동작구-노-009","0E-8",""," ","126.9259797","37.5100979"
"314","동작구"," "," "," "," "," ","동작구 대방동 375번지","학교용지","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","60.00000000","17.00000000","210.00000000","7.00000000","3.00000000","후보목"," "," ","2.00000000"," "," "," "," "," "," "," "," "," "," ","수간부 부패","외과수술"," "," "," ","뿌리부위 2x2m로 분이 형성되어 뿌리 생육공간 협소","7","0E-8",""," ","126.926801","37.5037172"
"315","동작구"," "," "," "," "," ","동작구 상도1동 211-33번지","공원용지","0E-8","아까시나무","1","콩과","Robinia Pseudo-acacia.Linne","60.00000000","22.00000000","220.00000000","8.00000000","2.00000000","후보목"," "," ","2.00000000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","20-동작구-노-006","0E-8",""," ","126.9535825","37.5056749"
"316","관악구"," "," "," "," "," ","관악구 신림동 112-1번지"," ","324.00000000","굴참나무","1","참나무과","Quercus variabilis BL.","1015.00000000","18.00000000","296.00000000","20.00000000","2.00000000","천연기념물 제 271호","1982.11.4"," ","2.00000000","대한민국","서울특별시"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4","0E-8",""," ","126.916742","37.4702589"
"317","관악구"," "," "," "," "," ","관악구 신림13동 697-40번지","대지","20.00000000","느티나무","1","느릅나무과","Zelkova serrata makino","370.00000000","17.00000000","496.00000000","16.00000000","3.00000000","1-15-39(구나무)","1974.4.20","정자목","1.00000000","강학석(관악구 신림13동 697-40)","강학석(관악구 신림13동 697-40)"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","28","0E-8",""," ","126.9203218","37.4671746"
"318","관악구"," "," "," "," "," ","관악구 남현동 519-2번지","전","300.00000000","느티나무","1","느릅나무과","Zelkova serrata makino","315.00000000","15.00000000","478.00000000","10.00000000","3.00000000","1-15-38","1981.10.27","풍치수","2.00000000","조계종관음사(관악구 남현동 519-220)","박형수(관악구 남현동 519-3)"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","29","0E-8",""," ","126.9772565","37.4681757"
"233","서초구"," "," "," "," "," ","서초구 원지동 419-7","공원","0E-8","갈참나무","1"," "," ","257.00000000","27.00000000","400.00000000","0E-8","0E-8"," ","1972.10.12"," ","0E-8","공유"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2006가지치기 및 경계석 제거","서22-8","0E-8",""," ","127.0552014","37.4436958"
"234","서초구"," "," "," "," "," ","서초구 우면동 46-12","공원","0E-8","느티나무","1"," "," ","454.00000000","14.00000000","506.00000000","0E-8","0E-8"," ","2000.12.20"," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2006가지치기","서22-27","0E-8",""," ","127.0256791","37.4724353"
"235","서초구"," "," "," "," "," ","서초구 우면동 218-4","도로","0E-8","회화나무","1"," "," ","224.00000000","12.00000000","288.00000000","0E-8","0E-8"," ","2000.12.20"," ","0E-8","서초구"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2006가지치기","서22-28","0E-8",""," ","127.0190302","37.4659205"
