"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","경도","위도"
"5248","중구","2-장충동-큰-0064","02","장충동","64.00000000","은행나무","20.00000000","14.00000000","8.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9999914","37.5582468"
"5249","중구","2-필동-큰-0069","02","필동","69.00000000","아카시아나무","23.00000000","24.00000000","6.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9980801","37.5602254"
"5250","중구","2-광희동-큰-0053","02","광희동","53.00000000","은행나무","50.00000000","14.00000000","8.00000000","국립의료원","10","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","41.00000000","공원녹지과","127.0047204","37.566757"
"5251","중구","2-중림동-큰-0073","02","중림동","73.00000000","아카시아나무","22.00000000","20.00000000","12.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","4","6","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","31.00000000","공원녹지과","126.9644321","37.5559521"
"5252","중구","2-중림동-큰-0040","02","중림동","40.00000000","은행나무","31.00000000","26.00000000","5.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","126.9657846","37.5566902"
"5253","중구","2-신당1동-큰-0053","02","신당1동","53.00000000","은행나무","60.00000000","9.00000000","6.00000000","성동실업여고","60","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","127.0130636","37.5653418"
"5254","중구","2-소공동-큰-0223","02","소공동","223.00000000","느티나무","28.00000000","19.00000000","10.00000000","덕수궁","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","33.00000000","공원녹지과","126.9758925","37.5651727"
"5255","중구","2-소공동-큰-0056","02","소공동","56.00000000","은행나무","27.00000000","22.00000000","5.00000000","창덕여중","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9707748","37.5659309"
"5256","중구","2-신당4동-큰-0012","02","신당4동","12.00000000","벚나무","32.00000000","4.00000000","3.00000000","삼성아파트","20","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Prunus yedoensis Matsumira.","2.00000000","36.00000000","공원녹지과","127.017563","37.5592442"
"5257","중구","2-장충동-큰-0298","02","장충동","298.00000000","호두나무","26.00000000","7.00000000","5.00000000"," ","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juglans sinensis Dode","2.00000000","34.00000000","공원녹지과","127.0032847","37.555176"
"5258","중구","2-회현동-큰-0121","02","회현동","121.00000000","느티나무","38.00000000","26.00000000","7.00000000","한국은행부지","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","126.9836651","37.5594709"
"5259","중구","2-장충동-큰-0337","02","장충동","337.00000000","은행나무","24.00000000","4.00000000","3.00000000","국립극장","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9998894","37.5519599"
"5260","중구","2-회현동-큰-0066","02","회현동","66.00000000","양버즘나무","21.00000000","15.00000000","6.00000000"," ","50","5.00000000","10.00000000","6.00000000","2","6","4.00000000","1.00000000","Platanus occidentalis L.","2.00000000","29.00000000","공원녹지과","126.9790732","37.5546662"
"5261","중구","2-신당6동-큰-0006","02","신당6동","6.00000000","향나무","22.00000000","7.00000000","5.00000000","한일교회","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0200574","37.5626885"
"5329","중구","2-중림동-큰-0041","02","중림동","41.00000000","아카시아나무","30.00000000","23.00000000","10.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","4","6","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","31.00000000","공원녹지과","126.965584","37.5565235"
"5330","중구","2-신당1동-큰-0049","02","신당1동","49.00000000","은행나무","23.00000000","8.00000000","4.00000000","장충빌딩","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0093172","37.562724"
"5331","중구","2-신당1동-큰-0050","02","신당1동","50.00000000","은행나무","55.00000000","14.00000000","6.00000000","장충빌딩","30","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","127.0092428","37.5626857"
"5332","중구","2-장충동-큰-0005","02","장충동","5.00000000","향나무","22.00000000","4.00000000","2.00000000","33-9","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0075756","37.562046"
"5333","중구","2-광희동-큰-0110","02","광희동","110.00000000","벚나무","30.00000000","3.00000000","1.00000000","서울석유","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Prunus yedoensis Matsumira.","2.00000000","34.00000000","공원녹지과","127.0075109","37.5630019"
"5334","중구","2-신당1동-큰-0057","02","신당1동","57.00000000","향나무","28.00000000","6.00000000","4.00000000","성동실업여고","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0128252","37.5654481"
"5335","중구","2-신당1동-큰-0058","02","신당1동","58.00000000","은행나무","50.00000000","9.00000000","6.00000000","성동실업여고","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","41.00000000","공원녹지과","127.012823","37.5655369"
"5336","중구","2-신당1동-큰-0069","02","신당1동","69.00000000","은행나무","22.00000000","6.00000000","5.00000000","태화빌딩","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0139891","37.5647652"
"5337","중구","2-신당1동-큰-0071","02","신당1동","71.00000000","대추나무","31.00000000","7.00000000","4.00000000","247-5","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Zizyphus jujuba var.","2.00000000","34.00000000","공원녹지과","127.0141773","37.5647809"
"5338","중구","2-신당1동-큰-0088","02","신당1동","88.00000000","양버즘나무","50.00000000","10.00000000","8.00000000","한양공고","60","10.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","37.00000000","공원녹지과","127.0111884","37.5651381"
"5339","중구","2-신당5동-큰-0009","02","신당5동","9.00000000","느티나무","23.00000000","7.00000000","7.00000000","52-236","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.018517","37.5626503"
"5340","중구","2-신당6동-큰-0017","02","신당6동","17.00000000","향나무","20.00000000","6.00000000","3.00000000","청구초교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0135784","37.5586364"
"5341","중구","2-신당6동-큰-0019","02","신당6동","19.00000000","느티나무","40.00000000","7.00000000","7.00000000","청구초교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0137481","37.5589273"
"5342","중구","2-신당6동-큰-0020","02","신당6동","20.00000000","측백나무","24.00000000","7.00000000","3.00000000","청구초교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Thuja orientalis L.","2.00000000","36.00000000","공원녹지과","127.0139079","37.5587294"
"5343","중구","2-회현동-큰-0186","02","회현동","186.00000000","은행나무","23.00000000","7.00000000","6.00000000","연세빌딩","70","5.00000000","10.00000000","6.00000000","6","9","3.00000000","2.00000000","Ginkgo biloba L.","0E-8","0E-8","공원녹지과","126.9737608","37.5567327"
"5344","중구","2-신당5동-큰-0045","02","신당5동","45.00000000","느릅나무","37.00000000","10.00000000","5.00000000","성동고교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Ulmus davidiana var","2.00000000","34.00000000","공원녹지과","127.022972","37.5646624"
"5345","중구","2-태평로1가동-큰-0108","02","태평로1가동","108.00000000","소나무","20.00000000","3.00000000","4.00000000","장교동 쁘렝땅백화점","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","126.9866049","37.5673316"
"5346","중구","2-태평로1가동-큰-0052","02","태평로1가동","52.00000000","느티나무","41.00000000","23.00000000","8.00000000","시청","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","126.9786679","37.5662792"
"5347","중구","2-신당1동-큰-0034","02","신당1동","34.00000000","느티나무","21.00000000","4.00000000","4.00000000","무궁화회관","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0157176","37.5689938"
"5348","중구","2-광희동-큰-0097","02","광희동","97.00000000","호두나무","25.00000000","7.00000000","7.00000000","국립간호대학","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juglans sinensis Dode","2.00000000","34.00000000","공원녹지과","127.0069964","37.5674553"
"5349","중구","2-신당3동-큰-0046","02","신당3동","46.00000000","소나무","23.00000000","5.00000000","2.00000000","남산타운","20","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.0078668","37.5468003"
"5687","중구","2-회현동-큰-0124","02","회현동","124.00000000","아카시아나무","24.00000000","19.00000000","10.00000000","한국은행부지","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9836866","37.5592332"
